,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
3841,Czech Public Transport IDOS,MAPS_AND_NAVIGATION,4.3,-0.13670864432801852,7700000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"November 6, 2017",2.4.1,4.0.3 and up
3842,Karta GPS - Offline Navigation,MAPS_AND_NAVIGATION,4.5,-0.12018993104676075,60000000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"May 4, 2018",2.10.06,5.0 and up
3843,Circle ratio,MAPS_AND_NAVIGATION,3.7,-0.14597418656781797,60000000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"August 3, 2018",04.08.00,4.4 and up
3844,Soviet Military Maps Free,MAPS_AND_NAVIGATION,4.3,-0.13936202411129012,5600000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"August 1, 2018",5.1.0 free,4.0 and up
3846,Sentin Information Map,MAPS_AND_NAVIGATION,4.1,-0.15056318441671682,5200000.0,100000.0,Free,0.0,Everyone,Maps & Navigation,"June 26, 2018",1.39,4.1 and up
3847,Snapp,MAPS_AND_NAVIGATION,4.5,-0.12955920994249376,25000000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"August 1, 2018",3.6.7,4.0.3 and up
3848,GPS Speedometer and Odometer,MAPS_AND_NAVIGATION,4.8,-0.14279432826483734,3300000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"August 3, 2018",10.0,4.1 and up
3849,GPS Traffic Speedcam Route Planner by ViaMichelin,MAPS_AND_NAVIGATION,4.3,-0.1139789236354326,29000000.0,5000000.0,Free,0.0,Everyone,Maps & Navigation,"July 28, 2018",7.16.8,4.0.3 and up
3850,Trucker Path – Truck Stops & Weigh Stations,MAPS_AND_NAVIGATION,4.7,-0.12929657031648856,49000000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"July 26, 2018",3.0.2,4.1 and up
3851,Map Coordinates,MAPS_AND_NAVIGATION,4.3,-0.14231941825617045,3600000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"July 17, 2018",4.7.5,4.0.3 and up
3852,Grab Driver,MAPS_AND_NAVIGATION,4.2,0.028429918142763685,48000000.0,5000000.0,Free,0.0,Everyone,Maps & Navigation,"August 1, 2018",5.44.1,4.1 and up
3854,"GPS Speedometer, Distance Meter",MAPS_AND_NAVIGATION,4.6,-0.14265701211334147,5400000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"July 31, 2018",2.7.2,4.0 and up
3855,Blitzer.de,MAPS_AND_NAVIGATION,4.5,-0.11297753510705666,18000000.0,5000000.0,Free,0.0,Everyone,Maps & Navigation,"July 9, 2018",3.1.0,4.0 and up
3856,GPS Speedometer - Trip Meter - Altimeter,MAPS_AND_NAVIGATION,4.3,-0.13298431848984907,3200000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"July 26, 2018",2.0.0,4.2 and up
3857,Radarbot Free: Speed Camera Detector & Speedometer,MAPS_AND_NAVIGATION,4.5,-0.12571495733445892,11000000.0,5000000.0,Free,0.0,Everyone,Maps & Navigation,"July 6, 2018",6.2.3,4.1 and up
3858,FindShip,MAPS_AND_NAVIGATION,4.2,-0.13834864290592763,8500000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"April 26, 2018",5.2.10,4.1 and up
3859,ÖBB Scotty,MAPS_AND_NAVIGATION,4.2,-0.14476892253067086,24000000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"February 19, 2018",5.4 (30),4.0 and up
3860,Subway Terminator: Smarter Subway,MAPS_AND_NAVIGATION,4.3,-0.10999975341129921,26000000.0,10000000.0,Free,0.0,Everyone,Maps & Navigation,"July 17, 2018",4.76,4.0 and up
3861,Alopec - Online Shipping System,MAPS_AND_NAVIGATION,4.3,-0.15156397331124344,14000000.0,100000.0,Free,0.0,Everyone,Maps & Navigation,"November 2, 2017",2.4.1,4.1 and up
3864,hum app,MAPS_AND_NAVIGATION,4.4,-0.14618046061198642,78000000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"July 31, 2018",5.072.1830.2,4.2 and up
3867,National Rail Enquiries,MAPS_AND_NAVIGATION,3.5,-0.14100022378765123,7000000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"May 24, 2018",9.3.3,4.0.3 and up
3868,ixigo Cabs-Compare & Book Taxi,MAPS_AND_NAVIGATION,4.2,-0.14520905377607682,9200000.0,1000000.0,Free,0.0,Everyone,Maps & Navigation,"April 9, 2018",1.7.3,4.0.3 and up
3871,Flashlight,TOOLS,4.5,-0.054965958353924566,4900000.0,10000000.0,Free,0.0,Everyone,Tools,"July 6, 2018",8.10.1,4.0 and up
3872,aa,FAMILY,4.2,0.3792187181682538,6500000.0,50000000.0,Free,0.0,Everyone,Strategy,"June 30, 2018",1.7.3,4.1 and up
3873,A Call From Santa Claus!,FAMILY,3.9,-0.1500768813649127,11000000.0,1000000.0,Free,0.0,Everyone,Entertainment,"December 4, 2016",4.2.3,4.0.3 and up
3874,Rope Hero Return of a Legend,GAME,4.3,-0.14634056284975672,96000000.0,1000000.0,Free,0.0,Mature 17+,Arcade,"August 26, 2016",1.0,2.3 and up
3875,A Word A Day,FAMILY,3.7,-0.15086959731372288,2900000.0,500000.0,Free,0.0,Everyone,Education,"January 5, 2017",5.8,4.0 and up
3876,Draw a Stickman: EPIC 2 Free,GAME,4.3,-0.024381633869005426,24000000.0,10000000.0,Free,0.0,Everyone,Adventure,"June 14, 2018",1.2.1.49,4.0 and up
3877,Akinator,FAMILY,4.3,0.9302702330226993,55000000.0,50000000.0,Free,0.0,Teen,Entertainment,"June 11, 2018",6.5.2,4.4 and up
3878,Dog Sim Online: Raise a Family,FAMILY,4.6,-0.09534889957069477,74000000.0,5000000.0,Free,0.0,Teen,Simulation,"April 22, 2018",8.6,4.0 and up
3879,Pou,FAMILY,4.3,6.133738671582363,24000000.0,500000000.0,Free,0.0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up
3880,Agar.io,GAME,4.2,2.135663791081247,32000000.0,100000000.0,Free,0.0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up
3881,Color by Number - Draw Sandbox Pixel Art,FAMILY,4.6,-0.14616307123035593,15000000.0,1000000.0,Free,0.0,Everyone,Entertainment,"July 27, 2018",1.3.13,4.1 and up
3882,A+ Mobile,FINANCE,3.9,-0.15186978657440017,6300000.0,10000.0,Free,0.0,Everyone,Finance,"June 26, 2018",5.4.4,4.4 and up
3883,Angry Birds Classic,GAME,4.4,3.1851681387948796,97000000.0,100000000.0,Free,0.0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up
3884,Build a Bridge!,FAMILY,4.6,0.005668416856163435,74000000.0,10000000.0,Free,0.0,Everyone,Puzzle,"August 2, 2018",2.1.1,4.1 and up
3886,Find a Way: Addictive Puzzle,FAMILY,4.8,-0.1286339749129823,14000000.0,500000.0,Free,0.0,Everyone,Puzzle,"June 16, 2017",4.1.1,4.1 and up
3887,CompTIA A+ Pocket Prep,FAMILY,4.3,-0.15152139930794123,14000000.0,10000.0,Free,0.0,Everyone,Education,"July 11, 2018",4.5.2,4.4 and up
3890,Comptia A+ 220-901 & 220-902,FAMILY,4.4,-0.15220318299462593,5700000.0,10000.0,Free,0.0,Everyone,Education,"April 19, 2018",2.0.7,4.1 and up
3891,Create A Superhero HD,FAMILY,3.3,-0.14712548355852564,19000000.0,500000.0,Free,0.0,Teen,Casual,"December 30, 2017",4.0.4,2.3 and up
3894,Bubble Shooter,GAME,4.5,-0.1261778746661393,50000000.0,5000000.0,Free,0.0,Everyone,Arcade,"September 13, 2017",4.4,2.3 and up
3896,Subway Surfers,GAME,4.5,16.464567622009724,76000000.0,1000000000.0,Free,0.0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up
3897,Super Mario Run,GAME,3.7,0.5803826826727475,70000000.0,100000000.0,Free,0.0,Everyone,Action,"July 12, 2018",3.0.11,4.2 and up
3898,STARDOM: THE A-LIST,GAME,4.5,-0.06076861511386109,29000000.0,1000000.0,Free,0.0,Teen,Adventure,"September 12, 2014",2.1.8,2.1 and up
3899,LokLok: Draw on a Lock Screen,COMMUNICATION,4.1,-0.14345332586524762,16000000.0,500000.0,Free,0.0,Teen,Communication,"September 20, 2017",0.81 beta,4.0.3 and up
3901,Photo Warp,FAMILY,3.7,0.05956830430446089,13000000.0,50000000.0,Free,0.0,Everyone,Entertainment,"November 24, 2017",2.0.7,4.0 and up
3902,LEGO® Juniors Create & Cruise,FAMILY,4.1,0.2506997948758661,73000000.0,50000000.0,Free,0.0,Everyone,Educational;Action & Adventure,"January 19, 2018",6.7.5222,4.1 and up
3903,CompTIA Exam Training,FAMILY,4.8,-0.15047683714241375,17000000.0,50000.0,Free,0.0,Everyone,Education,"July 3, 2018",1.7,4.2 and up
3908,Pokémon GO,GAME,4.1,6.0966471205645485,85000000.0,100000000.0,Free,0.0,Everyone,Adventure,"July 23, 2018",0.111.3,4.4 and up
3910,My Talking Angela,FAMILY,4.5,5.7698976415585745,99000000.0,100000000.0,Free,0.0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up
3912,Asphalt 8: Airborne,GAME,4.5,4.878448981287474,92000000.0,100000000.0,Free,0.0,Teen,Racing,"July 4, 2018",3.7.1a,4.0.3 and up
3913,PAC-MAN,GAME,4.2,0.25871150273672294,37000000.0,100000000.0,Free,0.0,Everyone,Arcade,"May 15, 2018",6.6.3,4.1 and up
3914,Basketball Stars,SPORTS,4.4,0.3681266912234046,45000000.0,10000000.0,Free,0.0,Everyone,Sports,"July 14, 2018",1.16.2,4.0.3 and up
3916,Lep's World 2 🍀🍀,GAME,4.3,0.32651330134781553,57000000.0,100000000.0,Free,0.0,Everyone 10+,Arcade,"June 7, 2018",1.9.8.0,4.1 and up
3917,Wolfify - Be a Werewolf,FAMILY,3.8,-0.1482539944629589,26000000.0,500000.0,Free,0.0,Everyone,Entertainment,"June 11, 2015",1.4.6,3.2 and up
3918,Law of Creation: A Playable Manga,GAME,4.5,-0.14444152244893838,47000000.0,500000.0,Free,0.0,Teen,Adventure,"June 25, 2018",1.0.19,4.0.3 and up
3919,Real City Car Driver,GAME,3.7,0.09570643750184589,22000000.0,10000000.0,Free,0.0,Mature 17+,Racing,"August 1, 2018",2.8,4.1 and up
3920,Toca Kitchen 2,FAMILY,4.5,0.45540039982368996,56000000.0,50000000.0,Free,0.0,Everyone,Educational;Pretend Play,"June 29, 2017",1.2.3-play,4.1 and up
3921,Rolling Sky,GAME,4.5,0.5176106127898091,50000000.0,50000000.0,Free,0.0,Everyone,Board,"August 3, 2018",Varies with device,4.0.3 and up
3922,Amazon Shopping,SHOPPING,4.3,0.3924748236753238,42000000.0,100000000.0,Free,0.0,Teen,Shopping,"July 31, 2018",16.14.0.100,4.4 and up
3923,Gymnastics Superstar - Spin your way to gold!,FAMILY,4.6,0.031039524655034404,34000000.0,10000000.0,Free,0.0,Everyone,Role Playing,"July 31, 2018",1.1.7,4.1 and up
3925,SuperCity: Build a Story,FAMILY,4.4,-0.09334912068318953,70000000.0,1000000.0,Free,0.0,Everyone,Simulation,"July 28, 2018",1.19.1,4.1 and up
3926,Chick-fil-A,FOOD_AND_DRINK,4.3,-0.13555914623885884,17000000.0,5000000.0,Free,0.0,Everyone,Food & Drink,"August 3, 2018",6.0.1,5.0 and up
3927,4 in a row,GAME,4.3,-0.12370618393921376,4099999.9999999995,5000000.0,Free,0.0,Everyone,Board,"April 12, 2016",1.0.21,1.5 and up
3929,Four In A Line Free,GAME,4.3,-0.07243928872331078,11000000.0,5000000.0,Free,0.0,Everyone,Board,"June 11, 2018",1.58,4.1 and up
3930,Flow Free,FAMILY,4.3,0.6243940083117949,11000000.0,100000000.0,Free,0.0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up
3931,Like A Boss,FAMILY,4.4,-0.14207236911024776,94000000.0,500000.0,Free,0.0,Everyone 10+,Role Playing,"August 1, 2018",1.0.17.2,5.0 and up
3932,AutoCAD - DWG Viewer & Editor,PRODUCTIVITY,4.2,-0.06530784335326581,24000000.0,10000000.0,Free,0.0,Everyone,Productivity,"July 23, 2018",4.5.19,4.4 and up
3933,Hungry Hearts Diner: A Tale of Star-Crossed Souls,FAMILY,4.9,-0.12457265485149115,56000000.0,500000.0,Free,0.0,Everyone 10+,Simulation,"February 7, 2018",1.0.1,4.0 and up
3935,Dragon Sim Online: Be A Dragon,FAMILY,4.6,-0.08530383332677034,66000000.0,5000000.0,Free,0.0,Teen,Simulation,"February 27, 2018",5.4,4.0 and up
3936,Alto's Adventure,GAME,4.6,0.15664782524278928,63000000.0,10000000.0,Free,0.0,Everyone,Action,"June 5, 2018",1.7.1,4.0 and up
3937,Fortune City - A Finance App,FINANCE,4.6,-0.12276056135882522,91000000.0,500000.0,Free,0.0,Everyone,Finance,"July 17, 2018",2.0.3.1,4.4 and up
3938,Draw A Stickman,GAME,3.4,-0.13475923468385673,17000000.0,1000000.0,Free,0.0,Everyone,Adventure,"May 19, 2017",1.1.0,4.0.3 and up
3939,Be A Legend: Soccer,SPORTS,3.8,-0.10088112146458486,21000000.0,1000000.0,Free,0.0,Everyone,Sports,"August 24, 2015",2.8.0.17,3.0 and up
3942,Cat Sim Online: Play with Cats,FAMILY,4.6,-0.07003895442445515,81000000.0,5000000.0,Free,0.0,Everyone 10+,Simulation,"April 22, 2018",3.7,4.0 and up
3944,Four In A Line,GAME,3.8,-0.1390010445339953,3000000.0,1000000.0,Free,0.0,Everyone,Board,"May 4, 2015",1.10,2.3 and up
3945,Tik Tok - including musical.ly,SOCIAL,4.4,3.2280989242374396,59000000.0,100000000.0,Free,0.0,Teen,Social,"August 3, 2018",8.0.0,4.1 and up
3947,Disney Magic Timer by Oral-B,FAMILY,3.9,-0.1336822922904656,83000000.0,1000000.0,Free,0.0,Everyone,Health & Fitness;Action & Adventure,"June 16, 2018",4.0.6,4.2 and up
3948,B-Messenger Video Chat,SOCIAL,4.1,-0.14481509433706904,19000000.0,1000000.0,Free,0.0,Mature 17+,Social,"August 19, 2017",7.1.1,2.3 and up
3949,Bestie - Camera360 Selfie,PHOTOGRAPHY,4.5,0.1553022468848997,23000000.0,10000000.0,Free,0.0,Everyone,Photography,"August 2, 2018",4.0.3.5,4.1 and up
3950,B,FINANCE,3.7,-0.1518278122049473,32000000.0,50000.0,Free,0.0,Everyone,Finance,"June 21, 2018",2.16.5426,4.4 and up
3951,BIGO LIVE - Live Stream,SOCIAL,4.4,1.2564848386350738,39000000.0,100000000.0,Free,0.0,Teen,Social,"July 27, 2018",4.1.0,4.0 and up
3952,Block Craft 3D: Building Simulator Games For Free,FAMILY,4.5,0.41414319245460113,57000000.0,50000000.0,Free,0.0,Everyone,Simulation,"March 5, 2018",2.10.2,4.0.3 and up
3953,8 Ball Pool,SPORTS,4.5,8.353444666371397,52000000.0,100000000.0,Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up
3954,B-BLE(BLE4.0 Scan),TOOLS,3.8,-0.15221217750236582,7500000.0,10000.0,Free,0.0,Everyone,Tools,"April 20, 2018",5.5,5.0 and up
3955,Cardi B Piano Game,GAME,3.1,-0.15227753759194246,7400000.0,10000.0,Free,0.0,Everyone,Music,"November 15, 2017",2.0,4.0 and up
3956,VPN Free - Betternet Hotspot VPN & Private Browser,TOOLS,4.5,0.32692345090075514,8900000.0,10000000.0,Free,0.0,Everyone,Tools,"August 1, 2018",4.3.0,4.1 and up
3958,MORTAL KOMBAT X,GAME,4.4,1.6705128233121278,18000000.0,10000000.0,Free,0.0,Mature 17+,Action,"June 27, 2018",1.18.2,4.0 and up
3961,B.GOOD,FOOD_AND_DRINK,2.9,-0.15221457603776314,20000000.0,10000.0,Free,0.0,Everyone,Food & Drink,"April 4, 2018",4.94.19,4.1 and up
3963,Oral-B App,HEALTH_AND_FITNESS,3.3,-0.1437867222854734,96000000.0,1000000.0,Free,0.0,Everyone,Health & Fitness,"July 19, 2018",6.0.1,5.0 and up
3967,Pixel Gun 3D: Survival shooter & Battle Royale,GAME,4.5,2.5383586960060223,55000000.0,50000000.0,Free,0.0,Teen,Action,"July 4, 2018",15.1.2,4.0.3 and up
3969,Servers Ultimate Pack B,TOOLS,4.3,-0.15190696387305844,13000000.0,50000.0,Free,0.0,Everyone,Tools,"March 31, 2016",2.1.8,2.1 and up
3970,EMT-B Pocket Prep,MEDICAL,4.5,-0.15053979869659306,16000000.0,50000.0,Free,0.0,Everyone,Medical,"July 11, 2018",4.5.2,4.4 and up
3972,Air Transat CinePlus B,TRAVEL_AND_LOCAL,2.2,-0.15225774967491468,6700000.0,50000.0,Free,0.0,Everyone,Travel & Local,"July 5, 2018",1.0.17.3905,4.4 and up
3973,Hungry Shark Evolution,GAME,4.5,3.488394581525608,100000000.0,100000000.0,Free,0.0,Teen,Arcade,"July 25, 2018",6.0.0,4.1 and up
3975,Hay Day,FAMILY,4.5,5.875923099895011,94000000.0,100000000.0,Free,0.0,Everyone,Casual,"June 28, 2018",1_39_93,4.0.3 and up
3976,Diary with lock,LIFESTYLE,4.6,0.33656196539483596,4400000.0,10000000.0,Free,0.0,Everyone,Lifestyle,"June 30, 2018",4.90,4.1 and up
3978,CARDI B WALLPAPERS,PERSONALIZATION,4.1,-0.15230272221361418,4500000.0,1000.0,Free,0.0,Everyone,Personalization,"May 21, 2018",3.1,4.0.3 and up
3979,Plan B,MAPS_AND_NAVIGATION,3.3,-0.1522961262412716,6000000.0,5000.0,Free,0.0,Everyone,Maps & Navigation,"July 12, 2017",1.2,4.3 and up
3981,B Tiff Viewer,PHOTOGRAPHY,4.1,-0.1521378229050493,7400000.0,100000.0,Free,0.0,Everyone,Photography,"May 12, 2018",1.1.7.4,4.0 and up
3982,Cardi B Wallpaper,ART_AND_DESIGN,4.8,-0.1521558119205291,3700000.0,50000.0,Free,0.0,Everyone,Art & Design,"November 1, 2017",1.0.0,4.0 and up
3983,A & B Taxi,MAPS_AND_NAVIGATION,4.1,-0.1522829342965864,25000000.0,1000.0,Free,0.0,Everyone,Maps & Navigation,"July 4, 2018",0.19.13-SPECTRUM,4.0.3 and up
3984,Cardi B HD Wallpapers Lock Screen,PERSONALIZATION,4.5,-0.15230632001671016,10000000.0,500.0,Free,0.0,Mature 17+,Personalization,"June 10, 2018",1.3,4.0.3 and up
3986,Clash of Clans,FAMILY,4.6,26.760127308687373,98000000.0,100000000.0,Free,0.0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up
3987,Clash Royale,FAMILY,4.6,13.71439314387824,97000000.0,100000000.0,Free,0.0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up
3988,C Programming,FAMILY,4.3,-0.13896686540458367,1800000.0,1000000.0,Free,0.0,Everyone,Education,"June 28, 2015",3.0,2.3 and up
3990,Learn C [NEW],FAMILY,4.5,-0.1520982470709937,11000000.0,50000.0,Free,0.0,Everyone,Education,"March 16, 2018",2.1.1,4.0 and up
3991,Mobile C [ C/C++ Compiler ],FAMILY,4.3,-0.14953481236512117,78000000.0,100000.0,Free,0.0,Everyone,Education,"July 7, 2018",2.5.1,4.0.3 and up
3992,Critical Ops,GAME,4.4,0.6859470225790517,50000000.0,10000000.0,Free,0.0,Teen,Action,"July 31, 2018",0.9.10.f96,4.4 and up
3994,Candy Crush Saga,FAMILY,4.4,13.291156582177072,74000000.0,500000000.0,Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up
3995,CL Mobile - Classifieds for Craigslist,SHOPPING,4.4,-0.1359525060440173,8300000.000000001,1000000.0,Free,0.0,Teen,Shopping,"July 30, 2018",27500000,4.1 and up
3998,C Programs and Reference,BOOKS_AND_REFERENCE,4.2,-0.1517840389339464,2500000.0,50000.0,Free,0.0,Everyone,Books & Reference,"July 31, 2014",2.2,2.1 and up
3999,Learn C++,FAMILY,4.6,-0.10829199620841616,5300000.0,1000000.0,Free,0.0,Everyone,Education,"December 25, 2017",4.5.2,4.0 and up
4001,C Programming Zone,FAMILY,4.6,-0.15157716525592863,4000000.0,50000.0,Free,0.0,Everyone,Education,"May 13, 2017",3.0,4.0.3 and up
4002,C Offline Tutorial,BOOKS_AND_REFERENCE,4.7,-0.15225475150566803,4200000.0,1000.0,Free,0.0,Everyone,Books & Reference,"December 8, 2017",1.0.1,4.1 and up
4004,All C Programs,FAMILY,4.7,-0.15087619328606547,6900000.0,100000.0,Free,0.0,Everyone,Education,"June 9, 2018",2.5.1,4.1 and up
4006,C by GE,LIFESTYLE,1.7,-0.15189617046377055,6600000.0,10000.0,Free,0.0,Everyone,Lifestyle,"July 11, 2018",4.1.07,4.3 and up
4007,CPlus for Craigslist - Officially Licensed,LIFESTYLE,4.5,-0.14745288364025813,16000000.0,1000000.0,Free,0.0,Mature 17+,Lifestyle,"August 3, 2018",1.6.4,4.1 and up
4008,Alt-C,PRODUCTIVITY,4.0,-0.1520083019935947,4700000.0,10000.0,Free,0.0,Everyone,Productivity,"January 27, 2017",1.37,4.0 and up
4009,C-SPAN Radio,FAMILY,3.6,-0.15194294190401805,5400000.0,100000.0,Free,0.0,Everyone,Entertainment,"May 17, 2018",4.3.2,4.1 and up
4010,Bridge-C - Get More Storage,TOOLS,2.0,-0.15229312807202497,35000000.0,1000.0,Free,0.0,Everyone,Tools,"December 29, 2017",1.7,6.0 and up
4011,Community by C Space,LIFESTYLE,4.7,-0.15188357815293468,26000000.0,5000.0,Free,0.0,Everyone,Lifestyle,"July 17, 2018",2.2.0,4.4 and up
4012,My C Spire,PRODUCTIVITY,4.1,-0.1520820569570619,32000000.0,50000.0,Free,0.0,Everyone,Productivity,"July 23, 2018",2.15.1,4.4 and up
4013,learn c in hindi,FAMILY,4.3,-0.15224215919483217,2700000.0,5000.0,Free,0.0,Everyone,Education,"June 24, 2017",4.1,4.0 and up
4014,Learn C Programming (Examples) (OFFLINE),FAMILY,4.3,-0.15228173502888775,3700000.0,10000.0,Free,0.0,Everyone,Education,"December 16, 2017",1.0.3,4.1 and up
4015,"C Programming - Learn Code, Theory & Discuss",FAMILY,4.5,-0.15065792656491048,7000000.0,100000.0,Free,0.0,Everyone,Education,"June 15, 2018",3.2.8,4.0.3 and up
4016,Expert C Programming - Learn C Coding Easily,FAMILY,4.4,-0.15226134747801062,6900000.0,5000.0,Free,0.0,Everyone,Education,"January 5, 2018",1.1.9,5.0 and up
4017,Hill Climb Racing,GAME,4.4,5.197296485427018,63000000.0,100000000.0,Free,0.0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up
4018,codeEazy - C/C++/JAVA,FAMILY,4.6,-0.1522295668839963,2200000.0,10000.0,Free,0.0,Everyone,Education,"April 4, 2016",1.0.3,4.0.3 and up
4019,Batmobile™ R/C Controller,FAMILY,3.7,-0.15203648478451304,30000000.0,100000.0,Free,0.0,Everyone,Entertainment,"February 2, 2018",1.0.8,4.4 and up
4020,C Pattern Programs Free,FAMILY,4.5,-0.14984002599442856,5800000.0,100000.0,Free,0.0,Everyone,Education,"July 8, 2018",7.1.0,4.0 and up
4021,C Programs Handbook,BOOKS_AND_REFERENCE,4.0,-0.15203228734756774,3100000.0,50000.0,Free,0.0,Everyone,Books & Reference,"November 16, 2017",2.2.3.3,4.0 and up
4022,C Functions,FAMILY,4.8,-0.15227453942269584,1500000.0,1000.0,Free,0.0,Everyone,Education,"September 26, 2015",1.0,4.0.3 and up
4023,Learn C# - .Net - C Sharp Programming Tutorial App,FAMILY,4.0,-0.15151600260329728,8600000.0,100000.0,Free,0.0,Everyone,Education,"June 3, 2018",4.1.0,4.1 and up
4024,Learn Basic C - For Beginners,FAMILY,4.7,-0.15229132917047697,772000.0,5000.0,Free,0.0,Everyone,Education,"January 20, 2016",1.0,3.0 and up
4025,C Prowess,FAMILY,4.8,-0.15212403132651478,3300000.0,5000.0,Free,0.0,Everyone,Education,"June 3, 2017",1.2,4.1 and up
4026,101 C Programming Problems,FAMILY,4.6,-0.15200890162744402,5000000.0,50000.0,Free,0.0,Everyone,Education,"October 15, 2017",2.0,4.0.3 and up
4027,Let us C - Example Programs,FAMILY,4.3,-0.15228593246583305,1100000.0,5000.0,Free,0.0,Everyone,Education,"August 30, 2017",1.2,3.0 and up
4028,C Examples,FAMILY,4.2,-0.15170668616738325,4400000.0,10000.0,Free,0.0,Everyone,Education,"August 31, 2016",3.9,4.0 and up
4029,C BOOK-C PROGRAMS,FAMILY,4.8,-0.15222476981320168,2100000.0,10000.0,Free,0.0,Everyone,Education,"September 22, 2017",1.0,3.0 and up
4030,100+ C Programs,FAMILY,4.2,-0.15229552660742227,1600000.0,5000.0,Free,0.0,Everyone,Education,"January 3, 2017",1.0,4.0 and up
4032,Dubsmash,VIDEO_PLAYERS,4.2,1.0300367132398616,29000000.0,100000000.0,Free,0.0,Teen,Video Players & Editors,"May 11, 2018",2.35.8,4.1 and up
4033,Discord - Chat for Gamers,COMMUNICATION,4.5,0.030788877706015755,39000000.0,10000000.0,Free,0.0,Teen,Communication,"July 27, 2018",7.1.8,4.1 and up
4035,FRONTLINE COMMANDO: D-DAY,GAME,4.5,0.8887198047012895,14000000.0,10000000.0,Free,0.0,Mature 17+,Action,"May 16, 2014",3.0.4,2.1 and up
4037,Fruit Ninja®,GAME,4.3,2.900697043603398,41000000.0,100000000.0,Free,0.0,Everyone,Arcade,"July 12, 2018",2.6.7.487220,4.1 and up
4038,"DU Recorder – Screen Recorder, Video Editor, Live",VIDEO_PLAYERS,4.8,1.3999826154836477,9700000.0,50000000.0,Free,0.0,Everyone,Video Players & Editors,"July 30, 2018",1.7.1.3,5.0 and up
4040,Crossy Road,GAME,4.5,2.3841298717898938,60000000.0,100000000.0,Free,0.0,Everyone,Action,"August 1, 2018",3.1.0,5.0 and up
4041,Temple Run 2,GAME,4.3,4.714405949859413,62000000.0,500000000.0,Free,0.0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up
4042,Beach Buggy Blitz,GAME,4.2,0.2320421876540592,47000000.0,50000000.0,Free,0.0,Everyone,Racing,"June 5, 2018",1.5,4.0.3 and up
4043,Vector,GAME,4.4,1.6817847404117752,89000000.0,100000000.0,Free,0.0,Everyone 10+,Arcade,"July 18, 2016",1.2.0,4.0 and up
4044,Dr. Driving,GAME,4.5,2.8292098953543423,9900000.0,100000000.0,Free,0.0,Everyone,Racing,"March 2, 2018",1.52,4.0.3 and up
4045,D Day World War II Commando Survival Shooting,GAME,4.2,-0.15173726749369892,64000000.0,100000.0,Free,0.0,Teen,Action,"May 25, 2018",1.2,4.1 and up
4046,Geometry Dash Meltdown,GAME,4.6,0.8017872877612712,48000000.0,50000000.0,Free,0.0,Everyone,Arcade,"December 22, 2017",1.01,4.0 and up
4048,Dropbox,PRODUCTIVITY,4.4,0.9635175314324792,61000000.0,500000000.0,Free,0.0,Everyone,Productivity,"August 1, 2018",Varies with device,Varies with device
4049,KineMaster – Pro Video Editor,VIDEO_PLAYERS,4.5,0.4556414526311194,32000000.0,50000000.0,Free,0.0,Everyone,Video Players & Editors,"August 3, 2018",4.5.0.10701.GP,4.1 and up
4050,Block City Wars + skins export,FAMILY,4.5,0.30503681540032285,28000000.0,10000000.0,Free,0.0,Teen,Simulation,"March 30, 2018",6.7.5,4.0 and up
4053,Dance School Stories - Dance Dreams Come True,FAMILY,4.4,-0.09763830160742493,36000000.0,1000000.0,Free,0.0,Everyone,Role Playing,"August 3, 2018",1.0.8,4.1 and up
4054,3D Bowling,SPORTS,4.1,0.49304421361673484,13000000.0,100000000.0,Free,0.0,Everyone,Sports,"January 18, 2018",3.1,2.0.1 and up
